id,title,description,feature,detected_phase,severity,root_cause,fix_summary,related_pr,test_gap
BUG-001,期末日の連結売上合計が1日分不足する,期末日当日の売上明細が連結帳票の合計に含まれない,連結帳票,system_test,High,終了日の境界条件漏れ,集計条件を end_date 以下に修正,PR-101,期末日を含む境界値テスト不足
BUG-002,前期比較で期首残高が二重計上される,前期比較帳票で期首残高と当期初日の仕訳が重複して表示される,比較帳票,acceptance_test,High,期間切替ロジック不備,期首残高取得条件を分離,PR-102,期首切替の状態別テスト不足
BUG-003,遡及修正後の再集計で旧金額が残る,遡及修正を行った後に再集計しても一部明細が旧金額のまま残る,再集計,beta_test,High,キャッシュ無効化漏れ,再集計前に対象期間キャッシュを破棄,PR-103,再実行・キャッシュ条件のテスト不足
BUG-004,承認済み仕訳を一般ユーザーが再編集できる,承認済みステータスの仕訳が権限の低いユーザーでも編集可能だった,仕訳承認,system_test,Critical,権限チェック漏れ,承認済み状態の更新APIに権限チェック追加,PR-104,状態×権限の組合せテスト不足
BUG-005,否認後に再申請した仕訳の監査ログが欠落する,否認された仕訳を修正して再申請すると再申請操作の監査ログが出力されない,監査ログ,acceptance_test,High,監査イベント発火漏れ,再申請イベントを監査ログに追加,PR-105,監査証跡の期待結果確認不足
BUG-006,Excel出力の税額が画面表示と1円ずれる,画面上の税額とExcelエクスポート後の税額が端数処理差で一致しない,Excel出力,system_test,Medium,丸め規則の不一致,画面と出力で共通丸め関数を利用,PR-106,画面・帳票・Excelの照合不足
BUG-007,0件データで帳票出力が500エラーになる,対象期間にデータがない場合に帳票出力APIが500エラーを返す,帳票出力,system_test,Medium,空配列処理漏れ,0件時は空帳票を返す,PR-107,0件データの異常系不足
BUG-008,大量明細のCSV取込で一部行だけ重複登録される,1万行を超えるCSV取込でリトライ後に一部行が重複登録される,CSV取込,production,High,リトライ時の冪等性不足,取込行に一意キーを付与して重複排除,PR-108,リトライ・再実行テスト不足
BUG-009,月末締め処理中に別ユーザー更新で残高が不整合になる,締め処理中に別ユーザーが同一勘定を更新すると残高テーブルと明細が不一致になる,月末締め,production,Critical,排他制御不足,締め対象勘定にロックを追加,PR-109,並行更新テスト不足
BUG-010,ロール変更直後に旧権限で承認できる,ユーザーのロールを変更した直後もセッション中は旧権限で承認操作が可能,権限管理,system_test,High,権限キャッシュ更新漏れ,ロール変更時に対象ユーザーセッションを失効,PR-110,権限変更後のセッションテスト不足
BUG-011,外貨換算で小数第3位の丸めが会社別設定と異なる,会社別に設定した丸め方式が外貨換算処理で反映されない,外貨換算,acceptance_test,Medium,設定参照漏れ,会社別丸め設定を換算処理に渡す,PR-111,会社別設定×通貨の組合せ不足
BUG-012,インポート失敗後の再取込でエラー行以外もスキップされる,CSV取込で一部行がエラーになった後に再取込すると正常行も取込済み扱いになる,CSV取込,system_test,Medium,失敗状態管理不備,行単位ステータスを追加,PR-112,部分失敗後の再実行テスト不足
